,distance,sending_weekday,delivery_type,post_office_type,sending_hour_category,vehicle_travel_time,sending_hour,delivery_time_hours
174,20.0,3,Economy registered letter,UP,1,0.29508196721311475,15,89.23333333333333
175,20.6,3,Economy registered letter,UP,1,0.32786885245901637,15,19.383333333333333
176,0.0,3,Economy registered letter,UP,1,0.0,15,18.85
177,20.6,3,Economy registered letter,UP,1,0.32786885245901637,15,20.05
178,0.0,3,Economy registered letter,UP,1,0.0,15,19.5
179,0.0,3,Economy registered letter,UP,1,0.0,15,21.033333333333335
180,0.0,3,Economy registered letter,UP,1,0.0,15,21.166666666666668
181,0.0,3,Economy registered letter,UP,1,0.0,15,19.45
182,51.7,3,Economy registered letter,UP,1,0.9016393442622951,15,93.41666666666667
183,20.6,3,Economy registered letter,UP,1,0.32786885245901637,15,18.883333333333333
184,20.6,3,Economy registered letter,UP,1,0.32786885245901637,15,18.85
185,0.0,3,Economy registered letter,UP,1,0.0,15,19.166666666666668
186,0.0,3,Economy registered letter,UP,1,0.0,15,18.333333333333332
187,0.0,3,Economy registered letter,UP,1,0.0,15,18.566666666666666
188,213.0,3,Economy registered letter,UP,1,3.0163934426229506,15,120.6
189,0.0,3,Economy registered letter,UP,1,0.0,15,22.0
190,0.0,3,Economy registered letter,UP,1,0.0,15,20.033333333333335
191,0.0,3,Economy registered letter,UP,1,0.0,15,19.783333333333335
192,0.0,3,Economy registered letter,UP,1,0.0,15,20.783333333333335
193,0.0,3,Economy registered letter,UP,1,0.0,15,20.316666666666666
194,0.0,3,Economy registered letter,UP,1,0.0,15,21.566666666666666
195,0.0,3,Economy registered letter,UP,1,0.0,15,21.683333333333334
196,0.0,3,Economy registered letter,UP,1,0.0,15,22.2
197,0.0,3,Economy registered letter,UP,1,0.0,15,22.6
198,0.0,3,Economy registered letter,UP,1,0.0,15,21.8
199,0.0,3,Economy registered letter,UP,1,0.0,15,23.316666666666666
200,0.0,3,Economy registered letter,UP,1,0.0,15,17.8
201,20.0,3,Economy registered letter,UP,1,0.29508196721311475,15,88.71666666666667
202,0.0,3,Economy registered letter,UP,1,0.0,15,19.666666666666668
203,0.0,3,Economy registered letter,UP,1,0.0,15,20.466666666666665
204,62.5,3,Priority registered letter,UP,1,0.9180327868852459,15,87.06666666666666
205,62.5,3,Priority registered letter,UP,1,0.9180327868852459,15,87.1
206,72.2,3,Priority registered letter,UP,1,0.9508196721311475,15,92.71666666666667
207,39.5,3,Priority registered letter,UP,1,0.7377049180327869,16,87.51666666666667
208,62.5,3,Priority registered letter,UP,1,0.9180327868852459,16,86.61666666666666
209,39.4,4,Economy registered letter,UP,0,0.5737704918032787,10,93.8
210,28.1,4,Economy registered letter,UP,0,0.5245901639344263,10,94.81666666666666
211,28.1,4,Economy registered letter,UP,0,0.5245901639344263,10,95.03333333333333
212,39.4,4,Economy registered letter,UP,0,0.5737704918032787,10,93.81666666666666
213,28.1,4,Economy registered letter,UP,0,0.5245901639344263,10,96.45
214,68.0,4,Economy registered letter,UP,0,0.8688524590163934,10,98.08333333333333
215,23.4,4,Economy registered letter,UP,0,0.39344262295081966,10,99.75
216,0.0,4,Economy registered letter,UP,0,0.0,10,76.13333333333334
217,65.1,4,Economy registered letter,UP,0,1.0491803278688525,11,92.81666666666666
218,65.1,4,Economy registered letter,UP,0,1.0491803278688525,11,68.56666666666666
219,345.0,4,Economy registered letter,UP,0,3.3442622950819674,11,97.81666666666666
220,346.0,4,Economy registered letter,UP,0,3.4098360655737703,11,120.93333333333334
221,20.6,4,Economy registered letter,UP,0,0.32786885245901637,11,69.8
222,61.1,4,Priority registered letter,UP,0,0.9344262295081968,12,71.08333333333333
223,256.0,4,Economy registered letter,UP,0,3.0655737704918034,12,95.25
