,Address,Coordinates
357,UP Gdańsk 43,"(54.36143405, 18.62821847557274)"
358,FUP Słupsk 1,"(54.460570849999996, 17.027730037017736)"
359,UP Lębork 1,"(54.5326494, 17.744474748366954)"
360,UP Gdynia 11,"(54.50383255, 18.462806155884614)"
361,AP Słupsk,"(54.460570849999996, 17.027730037017736)"
362,UP Gniew,"(53.8342221, 18.8251596)"
363,FUP Łódź 17,"(51.7687323, 19.4569911)"
364,UP Prabuty 1,"(53.755995, 19.2044449)"
365,FUP Gdańsk 43,"(54.36143405, 18.62821847557274)"
366,FUP Lębork 2,"(54.5326494, 17.744474748366954)"
367,FUP Sztum,"(53.9198663, 19.0305384)"
368,UP Biskupiec,"(53.8688, 20.95518)"
369,UP Stara Kiszewa,"(51.2362033, 19.9568754)"
370,UP Słupsk 1,"(54.460570849999996, 17.027730037017736)"
371,UP Pszczółki,"(51.42247, 19.10207)"
372,FUP Katowice 1,"(50.2137321, 19.00588775660632)"
373,UP Wrocław 57,"(51.1263106, 16.97819633051261)"
374,FUP Rawa Mazowiecka,"(51.5503102, 22.3747364)"
375,AP Wejherowo,"(54.606068199999996, 18.23178605516042)"
376,FUP Słupsk 8,"(54.460570849999996, 17.027730037017736)"
377,UP Dzierzgoń,"(53.9239051, 19.3479491)"
378,FUP Szczecin 8,"(53.4301818, 14.5509623)"
379,UP Sztum,"(53.9198663, 19.0305384)"
380,UP Kostrzyn Wielkopolski,"(51.5748717, 20.7309873)"
381,FUP Warszawa 81,"(52.2319581, 21.0067249)"
382,FUP Bytów 1,"(54.168855, 17.4922953)"
383,FUP Gdynia 6,"(54.50383255, 18.462806155884614)"
384,UP Gniewino,"(54.71543, 18.00638)"
385,FUP Braniewo 1,"(54.3791637, 19.82216309198983)"
386,UP Ustka 1,"(54.573764600000004, 16.858728693053727)"
387,UP Stężyca,"(51.5825969, 21.772083)"
388,UP Cedry Wielkie,"(53.3644479, 22.1905363)"
389,UP Trąbki Wielkie,"(54.278462, 19.8439054)"
390,UP Warszawa 33,"(52.2319581, 21.0067249)"
391,UP Linia,"(54.45141, 17.9281)"
392,FUP Malbork 2,"(54.0287383, 19.039396385383558)"
393,UP Grudziądz 11,"(53.47251195, 18.761893676880046)"
394,UP Poznań 37,"(52.4006632, 16.91973259178088)"
395,UP Luzino,"(54.5618906, 18.1047847)"
396,UP Nowy Dwór Gdański,"(53.6462325, 18.7290468)"
397,FUP Słupsk 12,"(54.460570849999996, 17.027730037017736)"
398,UP Stegna,"(54.3286519, 19.1130637)"
399,UP Wrocław 52,"(51.1263106, 16.97819633051261)"
400,UP Sokołów Podlaski 1,"(51.5148113, 18.7356098)"
401,UP Chmielno,"(54.3284627, 18.1014851)"
402,UP Gdańsk 40,"(54.36143405, 18.62821847557274)"
403,UP Mława 1,"(53.13419145, 20.362882994720415)"
404,UP Ostróda 1,"(53.7028052, 19.962863844011487)"
405,AP Bolszewo,"(54.61685, 18.17654)"
406,UP Jastarnia,"(54.7084852, 18.655447580232796)"
407,UP Kępice,"(54.2427792, 16.8896705)"
408,FUP Poznań 1,"(52.4006632, 16.91973259178088)"
409,UP Poznań 6,"(52.4006632, 16.91973259178088)"
410,UP Czerwonak,"(52.46696, 16.98026)"
411,AP Robakowo,"(54.55849, 18.15504)"
412,FUP Poznań 69,"(52.4006632, 16.91973259178088)"
413,FUP Poznań 41,"(52.4006632, 16.91973259178088)"
414,UP Białogard 1,"(54.0145099, 15.969118723805451)"
415,UP Sławno 1,"(54.361141950000004, 16.6754076140828)"
416,FUP Kołobrzeg 1,"(54.176211550000005, 15.57640369780165)"
417,FUP Darłowo 1,"(54.42914965, 16.403846355275693)"
418,UP Świdwin 1,"(53.7743624, 15.782515872730308)"
419,UP Połczyn-Zdrój,"(53.7648981, 16.0952705)"
420,UP Czaplinek,"(53.560673, 16.2319428)"
421,FUP Koszalin 4,"(54.20727105, 16.217530768271565)"
422,FUP Koszalin 1,"(54.20727105, 16.217530768271565)"
423,UP Mielno,"(54.2590065, 16.0539997)"
424,UP Bobolice,"(53.954693, 16.5884779)"
425,UP Koszalin 9,"(54.20727105, 16.217530768271565)"
426,FUP Białogard 1,"(54.0145099, 15.969118723805451)"
427,AP Koszalin,"(54.20727105, 16.217530768271565)"
428,UP Koszalin 1,"(54.20727105, 16.217530768271565)"
429,UP Koszalin 4,"(54.20727105, 16.217530768271565)"
430,UP Koszalin 12,"(54.20727105, 16.217530768271565)"
431,FUP Koszalin 12,"(54.20727105, 16.217530768271565)"
432,FUP Warszawa 1,"(52.2319581, 21.0067249)"
433,FUP Kraków 4,"(50.0469432, 19.997153435836697)"
434,FUP Mielno,"(54.2590065, 16.0539997)"
435,UP Stargard 1,"(53.30897745, 15.031645934671849)"
436,FUP Szczecinek 1,"(53.70234205, 16.70713424642978)"
437,FUP Piła 1,"(53.1511324, 16.7380343)"
438,UP Łysomice,"(54.331, 17.15318)"
439,AP Stare Bielice,"(52.7470854, 17.1145841)"
440,UP Sianów,"(54.228188, 16.2942839)"
441,UP Polanów,"(54.11921, 16.68725)"
442,UP Poznań 29,"(52.4006632, 16.91973259178088)"
443,FUP Sławno 1,"(54.361141950000004, 16.6754076140828)"
444,FUP Połczyn-Zdrój,"(53.7648981, 16.0952705)"
445,FUP Jastrzębie-Zdrój,"(49.96067945, 18.599367592200732)"
446,FUP Poznań 9,"(52.4006632, 16.91973259178088)"
447,FUP Kielce 23,"(50.85403585, 20.609914352101452)"
448,AP Sosnowiec,"(50.271229500000004, 19.215561953947084)"
449,FUP Koło 1,"(52.2019866, 18.6359912)"
450,UP Choszczno 1,"(53.1704801, 15.4167349)"
451,UP Radom 12,"(51.41716055, 21.160944780832743)"
452,FUP Bartoszyce 1,"(54.2534341, 20.80839323665569)"
453,FUP Skarżysko-Kamienna 2,"(51.122965699999995, 20.87700914767867)"
454,FUP Wrocław 48,"(51.1263106, 16.97819633051261)"
455,UP Krotoszyn 1,"(51.695926, 17.4374158)"
456,FUP Inowrocław 1,"(52.781464299999996, 18.246308553210774)"
